term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	rigidity_attempts	identity_attempts	own_identity_attempts	unity_attempts	dependence_attempts	total_critique_attempts	error
N0674fdfdd69d4a75a705bf9ced5b7533	N0674fdfdd69d4a75a705bf9ced5b7533	+R	+O	-O	-U	-D	Complex Type (see properties for details)	The identifier 'N0674fdfdd69d4a75a705bf9ced5b7533' appears to represent a specific, unique entity (likely a hash, memory address, or unique URI). In formal ontology, such identifiers are rigid designators that necessarily refer to the same individual in every possible world where they exist; the property of being this specific entity is essential to it.	As a class representing a specific 'Hexadecimal String' or 'Unique Identifier', the property provides the criteria for identity for its instances (the exact sequence of characters). Since it supplies its own identity condition and is a rigid property (a string does not change its character sequence and remain the same string), it satisfies the criteria for +O and therefore carries identity (+I).	The term 'N0674fdfdd69d4a75a705bf9ced5b7533' is a semantically opaque identifier. According to Definition 7, +O (Own Identity) requires a property to supply a specific identity condition that is not inherited from its ancestors. Without a known rigid sortal definition for this property (e.g., Person, Physical Object), it is impossible to determine if it introduces a unique identity condition. Therefore, it cannot be positively marked as +O.	The term is an abstract, hexadecimal-style identifier or system-generated label. As a generic identifier, it does not carry an inherent unity condition involving topological, morphological, or functional integration of parts that would define it as an intrinsic whole across its existence.	The identifier 'N0674fdfdd69d4a75a705bf9ced5b7533' does not specify a relational role or property (like 'Parent' or 'Student'); it serves as a unique instance identifier. Without evidence that it represents an entity that necessarily requires a separate, non-constituent entity to exist, it is classified as independent.	1	3	2	1	1	8	
sweat secretion response to emotion	http://purl.bioontology.org/ontology/EMRO/0000008	+R	-I	-O	-U	+D	Attribution or Quality	A sweat secretion response to emotion is a physiological process defined by its specific causal and biological mechanism. If an instance of this specific response exists, it cannot cease to be that specific type of response and remain the same occurrence; it is inherently defined by its nature as a sweat secretion triggered by emotion.	The term represents a physiological process or specific occurrence. While instances of this response can be measured, the property itself does not provide an inherent identity condition (IC) to distinguish one instance from another over time or across different contexts without referring to the specific individual or time-frame involved, thus failing the criteria for supplying or carrying a global identity condition.	A property that does not carry an identity condition (-I) cannot supply one (+O). Furthermore, the 'sweat secretion response to emotion' is a specific behavioral or physiological event that inherits its identity from the broader category of physiological processes or events, rather than establishing its own autonomous global criteria for identity.	A sweat secretion response to emotion is a physiological process or event. Unlike a physical object, it does not possess a fixed mereological structure or a specific equivalence relation (topological, morphological, or functional) that binds its 'parts' into an intrinsic whole across its existence.	A sweat secretion response to emotion is externally dependent on an emotional state and a sentient being; the response cannot exist or be defined without the existence of the emotion that triggers it and the agent experiencing it, neither of which are parts or constituents of the response itself.	1	1	1	1	1	5	
positive emotional valence	http://purl.bioontology.org/ontology/EMRO/0000009	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Positive emotional valence is a contingent property of an experience or mental state. An instance (an emotional state) can shift along the continuum from positive to negative valence while remaining the same mental incident, meaning instances do not necessarily remain positive in all possible worlds.	Positive emotional valence is a property or quality on a continuum. It lacks a principled identity condition (IC) to distinguish one instance of 'positivity' from another or to re-identify the same instance over time independently of the subject experiencing it. Unlike a sortal (like 'Person'), it does not provide a way to count or identify distinct tokens of the valence itself.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O). Only rigid sortals can supply an identity condition.	Positive emotional valence is a quality or attribute rather than a bounded physical or functional object with a mereological structure. Its instances do not form intrinsic wholes because they lack a common equivalence relation defining the connection of parts.	Positive emotional valence is externally dependent on a sentient agent; it cannot exist without an instance of a mind or biological entity capable of experiencing an emotional state.	1	1	1	1	1	5	
muscle tension response to emotion	http://purl.bioontology.org/ontology/EMRO/0000010	+R	-I	-O	-U	+D	Attribution or Quality	An instance of 'muscle tension response to emotion' is an occurrent or event-like state. It is rigid because that specific instance cannot cease to be such a response without ceasing to exist entirely. Unlike a role that a muscle plays (like being a 'prime mover'), which would be anti-rigid, the response itself is defined by its nature; it does not 'stop being' a response while persisting as some other entity.	Muscle tension response to emotion is a state-based property or a qualitative occurrent. While the human subject experiencing it has identity, the tension itself lacks a principled identity condition (IC) to distinguish one 'instance' of tension from another in a way that allows for re-identification over time as a unique, persistent individual.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O). Only rigid properties carrying identity can supply their own identity criteria.	Muscle tension response to emotion is a physiological state or process rather than an intrinsic whole. While it involves biological parts, it lacks a specific, fixed equivalence relation (omega) that bounds its parts into a maximal self-connected whole throughout its existence, and it doesn't necessarily qualify as an integrated individual in the mereological sense.	Muscle tension response to emotion is externally dependent on both a physiological muscle substrate and a specific emotional state or stimulus; it cannot exist as an instance without the existence of the emotion that triggers and characterizes it.	2	1	1	1	1	6	
increased heart response to emotion	http://purl.bioontology.org/ontology/EMRO/0000011	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	This term represents a physiological state or response. An organism can experience an 'increased heart response to emotion' at certain times and return to a baseline state at others without changing its fundamental identity. Since all instances of this response are inherently temporary and contingent processes occurring to an entity, it is anti-rigid.	This term refers to a physiological state or response, which is a property or manifestation of an underlying entity. It lacks a principled identity condition or global set of necessary and sufficient criteria to distinguish one instance of 'increased response' from another as a self-identical object over time; identity is instead dependent on the organism (like a PERSON) experiencing it.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot satisfy the requirements for +O, which requires supplying its own identity condition and being rigid (+R).	An increased heart response to emotion is a physiological state or process rather than a discrete entity with specific parts bound by an equivalence relation of unity. It lacks the maximal self-connectedness required for a whole, as it is a characteristic of a biological process.	The entity is an 'increased heart response to emotion', which is a state or event that is externally dependent on both a heart (the physical organ) and an emotion (the physiological or psychological trigger) to exist. Since a response cannot exist without the entity it is responding to and the entity performing the response, it is externally dependent.	1	1	1	1	1	5	
increased breathing rate response to emotion	http://purl.bioontology.org/ontology/EMRO/0000012	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Increased breathing rate response to emotion is a physiological state or phase that an organism enters and leaves. It is not an essential property of the organism (the organism exists without it), and it is not an essential property of the breathing itself (which can exist at a normal rate). Since no instance of this property is necessarily an instance of it in all possible worlds, it is anti-rigid.	This is a non-rigid property representing a physiological response (a state or event). It does not carry its own global identity condition to distinguish one individual instance of 'increased breathing rate response' from another over time or across different emotional events without referring back to the specific organism (+I) undergoing the change.	Since the entity was determined to be -I (not carrying an identity condition), it cannot be +O (supplying an identity condition). In the OntoClean framework, supplying an identity condition (+O) logically implies carrying an identity condition (+I) and being a rigid property (+R).	A physiological response like an increased breathing rate is a dynamic process or property modification rather than a discrete entity with a specific mereological structure. It lacks a singular topological, morphological, or functional unity condition that binds parts into an intrinsic whole.	The breathing rate response is externally dependent on both the emotion that triggers it and the physiological subject in which it occurs. For this property to have an instance, an instance of a specific emotion must necessarily exist to serve as the cause/context.	1	1	1	1	1	5	
cognitive response to emotion	http://purl.bioontology.org/ontology/EMRO/0000013	+R	-I	-O	-U	+D	Attribution or Quality	As an event or process, an instance of a 'cognitive response to emotion' is defined by its causal and historical relationship to the stimulus. Since an occurrence cannot cease to be a response to its specific emotional trigger without losing its identity as that specific occurrence, the property is essential to all its instances.	A cognitive response to emotion is a non-sortal property. It lacks a specific, global identity condition (IC) that would allow one to definitively distinguish one instance of a 'response' from another across different times or contexts, nor does it supply its own criterion for synchronic identity.	Since the entity was determined to be -I (not carrying an identity condition), it cannot fulfill the requirements for +O, as supplying an identity condition (+O) implies carrying one (+I) and being a rigid property (+R).	A cognitive response to emotion is a conceptual category that lacks a specific, consistent equivalence relation (omega) to define it as a whole. While individual responses might involve integrated neural processes, the property itself encompasses highly diverse phenomenon—ranging from single thoughts to complex behavioral patterns—which do not share a common topological, morphological, or functional unity condition for all instances.	A cognitive response to emotion is externally dependent on the existence of an emotion; for a response to exist, there must necessarily be an instantiating emotion which causes or is the object of that response, but which is not a part or constituent of the response itself.	2	1	1	1	1	6	
cognitive appraisal process	http://purl.bioontology.org/ontology/EMRO/0000014	+R	+I	-O	+U	+D	Sortal (Rigid, carries identity)	A cognitive appraisal process is defined by its identity as a formal mental mechanism. An instance of such a process cannot cease to be a cognitive appraisal process without also ceasing to exist as that specific entity. Since the property is essential to all its instances across all possible worlds, it is rigid.	A cognitive appraisal process carries identity because it is a distinct occurrence bounded by a specific subject (the individual), a beginning and end time, and a specific situational stimulus, allowing it to be uniquely identified and tracked as a specific event.	While 'cognitive appraisal process' is a sortal (+I), it is a specialization of the more general rigid property 'Process'. It inherits its global identity conditions (the criteria for distinguishing one process from another, such as temporal bounds, participants, and spatiotemporal trajectory) from the parent category rather than supplying a novel, unique identity criterion that would override or exist independently of the fundamental identity conditions of processes in general.	A cognitive appraisal process is an intrinsic whole characterized by functional unity. It consists of specific interdependent stages (detection, assessment, and reaction) that are bound by a temporal and logical sequence, where the parts are integrated into a singular mental event rather than a mere collection of thoughts.	The cognitive appraisal process is externally dependent on a sentient agent (a cognizer) and an event or stimulus being appraised. It cannot exist as an independent instance without another entity to perform the process and an object to which the appraisal refers.	1	1	2	1	1	6	
syncope response to emotion	http://purl.bioontology.org/ontology/EMRO/0000015	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	A response to emotion (syncope) is a process or state that an individual organism experiences contingently. An instance of this property (a specific episode or the state of reacting) does not define the essential identity of the subject; the subject can exist without experiencing this response, and the response itself is a transient manifestation or role of a physiological state rather than an essential property of the entity.	As a specific clinical symptom or event occurring within a specific physiological context, it is a property of an individual that identifies their state rather than providing its own global criteria for re-identification or individuation across time. It depends on the identity of the person experiencing it; there are no independent identity conditions for the property itself.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot be +O, as supplying an identity condition (+O) implies carrying one (+I). Phenotypes and medical reactions often function as roles or attributes rather than rigid sortals that supply their own global criteria for diachronic and synchronic identity.	A 'syncope response to emotion' is a physiological event or process rather than an intrinsic whole with a fixed mereological structure. While it has a temporal duration and constituent biological steps, it lacks a singular, common equivalence relation (omega) that binds its parts into a maximal self-connected whole in the way a physical object like a 'Person' or 'Heart' does.	The entity 'syncope response to emotion' is externally dependent on both a Person (the bearer of the response) and a specific Emotion. By definition, a response cannot exist in isolation; it necessarily requires an instance of an emotional stimulus and a physiological subject to manifest.	1	1	1	1	1	5	
negative emotional valence	http://purl.bioontology.org/ontology/EMRO/0000016	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Negative emotional valence is a property or quality that an entity (like an emotional state or experience) can possess. It is not rigid because a specific emotion or experience could potentially shift across the valence continuum (e.g., from negative to neutral or positive) while remaining the same experience in a different state, and it is not anti-rigid because one could argue that certain classes of experience (like 'Agony') are necessarily negative in all possible worlds.	Negative emotional valence is a property or quality on a continuum rather than a sortal entity. It does not carry its own global identity condition (IC) to distinguish one instance of 'negativity' from another across different contexts or times without referring to a specific host entity (like a person or an event) that possesses a rigid IC.	Since the entity was determined to be -I (not carrying an identity condition), it cannot be +O. A property supplies a global identity condition only if it is rigid (+R) and carries an identity condition (+I), neither of which apply to a quality-like continuum such as emotional valence.	Negative emotional valence is an abstract quality or attribute that exists along a continuum. It does not possess a mereological structure where parts are bound together into a wholeness through topological, morphological, or functional unity relations. As it is a property or a state rather than a discrete entity with integrated parts, it does not carry a specific unity condition.	Negative emotional valence is an external notional dependent property because it cannot exist without an instance of a conscious state or an intentional subject to which the valence is attributed. It is not an autonomous entity but must characterize an emotional experience or appraisal.	1	1	1	1	1	5	
neutral emotional valence	http://purl.bioontology.org/ontology/EMRO/0000017	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Neutral emotional valence is a state or phase property of an emotional experience. An instance of an emotional experience can change from being neutral to being pleasant or unpleasant (moving along the continuum) without losing its identity as an emotional state; therefore, it is not essential to any of its instances.	Neutral emotional valence is a qualitative property (a specific range on a continuum) rather than a sortal. It does not carry an intrinsic identity condition to distinguish one instance of 'neutrality' from another across different contexts or time, nor does it supply a way to re-identify the same specific instance of neutrality independently of the entity experiencing it.	Since the entity is characterized as -I (does not carry an identity condition), it cannot supply an identity condition (+O). According to the Ontoclean methodology, +O implies +I and +R. Furthermore, 'neutral emotional valence' is a qualitative attribute that describes a position on a continuum rather than a sortal that provides a global identity condition for its instances.	Neutral emotional valence is an abstract qualitative state on a continuum. It does not possess a mereological structure of parts bound by a specific topological, morphological, or functional unity condition that would constitute it as an intrinsic whole.	Neutral emotional valence is a quality that cannot exist in isolation; it must be inhered in an emotional state or an appraisal held by a sentient being. Since it is necessarily dependent on an bearer that is not a part of its own internal structure, it is externally dependent.	1	1	1	1	1	5	
muscle tension response to fear	http://purl.bioontology.org/ontology/EMRO/0000019	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Muscle tension response to fear is an anti-rigid property (~R) because it is a contingent state or phase of a muscle. A muscle (the underlying rigid entity) can exist without exhibiting a tension response to fear; it is a temporary condition that an instance can move in and out of while maintaining its identity.	Muscle tension response to fear is an occurrence or a quality-related state that lacks its own intrinsic identity condition. It is identified by the individual muscle and the specific fear event it belongs to, inheriting identity from the subject rather than supplying a way to distinguish one specific instance of 'tension' from another 'tension' of the same type without referring to the entity or the event.	Since this property is categorized as -I, it does not carry an identity condition and therefore cannot supply its own (as +O implies +I).	Muscle tension response to fear is a transient physiological state or process rather than an intrinsic whole. While it involves coordinated biological parts, it lacks a singular, well-defined equivalence relation (omega) that defines it as a maximal self-connected whole throughout its existence, making it a property that does not consistently carry a unity condition.	Muscle tension response as an instance of a physiological reaction is externally dependent on a stimulus (fear) and a biological subject (a sentient organism) to exist; it is not a self-standing entity.	1	1	1	1	1	5	
psychophysiological response to fear	http://purl.bioontology.org/ontology/EMRO/0000020	+R	-I	-O	+U	+D	Attribution or Quality	A psychophysiological response to fear is rigid because it is defined by its causal and physiological nature; an instance of such a response (e.g., a specific instance of sympathetic nervous system arousal) cannot cease to be a response to fear and remain the same 'response' entity. It is an essential categorization of the event/state.	A psychophysiological response to fear is a property or manifestation of an underlying process rather than an entity that provides its own identity condition. While instances of fear responses can be measured, they do not inherently carry a global identity condition (like fingerprints for a person) to distinguish one specific instance of a 'response' from another over time or across different contexts without referring back to the specific individual (the sortal +I) experiencing it.	Since the entity was previously determined to be -I (not carrying an identity condition), it cannot supply its own identity condition (+O). Supplying an IC (+O) implies carrying one (+I) and being a rigid property (+R).	A psychophysiological response to fear (such as the fight-or-flight response) is a functional whole consisting of coordinated biological activities—including neuroendocrine release, increased heart rate, and muscular tension—that are bound together by a systemic causal relation to ensure the organism's survival.	A psychophysiological response to fear is externally dependent on both a sentient host (living organism) and the specific emotional state of 'fear'. Since the response cannot exist without the presence of the feeling/stimulus of fear which it is a reaction to, nor can it exist without a biological entity to manifest the response, it carries the +D meta-property.	1	1	1	1	1	5	
N31c918a80d1f46ec883eb975fb704b4c	N31c918a80d1f46ec883eb975fb704b4c	+R	+I	-O	-U	-D	Sortal (Rigid, carries identity)	Treating the term as a class representing 'Unique Alphanumeric Identifiers' or 'Hexadecimal Hash Strings', it is rigid because any instance belonging to this class (e.g., a specific string literal) cannot cease to be an identifier or a string while continuing to exist. It is a substantial sortal that defines what the entity is fundamentally across all possible worlds.	Interpreting this term as a property representing the class of specific identifiers (e.g., hash keys or UUIDs), it carries an identity condition (+I). Instances of this property (the identifiers themselves) are identified and distinguished from others based on a precise sequence of characters; two instances are identical if and only if their character strings are identical.	The term provided is an alphanumeric hash or identifier rather than a semantic property or universal. In the context of OntoClean, a property can only be marked +O if it is a rigid sortal that supplies a specific identity condition (IC) to its instances. Since this term lacks semantic meaning, it cannot define or supply an identity condition for a class of entities; it functions as a pointer rather than a sortal-supplying concept.	The provided term appears to be a unique identifier or a specific data hash. As an abstract string or an arbitrary identifier, it does not inherently carry a unity condition for its instances, nor is it guaranteed that its instances are intrinsic wholes with integrated parts.	Under standard formal ontological procedures, an opaque identifier lacking a definition or lexical label is treated as a bare individual or a primitive sortal property. Without a relational definition linking it to an external entity, it is assigned the default status of -D (independent) until extrinsic requirements are formally introduced to the concept's semantics.	2	2	2	1	2	9	
