term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	rigidity_attempts	identity_attempts	own_identity_attempts	unity_attempts	dependence_attempts	total_critique_attempts	error
N88b6d53b6df74741b8c686da02199a59	N88b6d53b6df74741b8c686da02199a59	~R	+I	+O	-U	+D	Role (Anti-rigid, dependent)	The term represents a specific code or hexadecimal identifier acting as a role (an assignment) for an underlying entity. Since an entity (such as a device, object, or database record) can exist before the assignment of this code and continue to exist after the code is revoked or reassigned, it is not essential to the identity of the holder. Therefore, it is anti-rigid.	The term represents a Hash Identifier (specifically a Git-style or cryptographic commit). This class carries a strong identity condition because the sequence itself is the principle of distinction: two instances are the same if and only if they are character-for-character identical, and they uniquely identify a fixed state of data or a specific event in time.	As a rigid sortal representing an institutional or physical entity identified by a specific URI/Identifier, it supplies its own global identity condition rather than inheriting it from a more general super-class.	The term provided appears to be an arbitrary alphanumeric hash or identifier. Such identifiers do not inherently denote a biological, functional, or physical whole with intrinsic integrated parts; they are symbolic strings that lack a defined mereological structure characterizing a unified entity.	As a hash or unique identifier, this entity's existence is ontologically dependent on the data, object, or system it labels; it cannot exist or maintain its identity without the entity it identifies.	2	2	1	1	1	7	
sweat secretion response to emotion	http://purl.bioontology.org/ontology/EMRO/0000008	+R	-I	-O	+U	+D	Attribution or Quality	The term identifies a specific physiological process. An instance of this response cannot cease to be a 'sweat secretion response to emotion' without ceasing to exist as that specific event or process.	This term refers to a physiological occurrence or process. While it can be measured, it does not provide an inherent condition for distinguishing one instance of a 'secretion response' from another over time or across contexts without being tied to an external identity (like a specific Person or Event).	Since the entity is labeled as -I, it cannot supply its own identity condition (+O). Furthermore, as a physiological process or phased response, it inherits its identity from the underlying biochemical activities or the organism experiencing it.	A sweat secretion response is a functional physiological whole with a specific onset, duration, and biological integration. It is an organized process rather than an arbitrary collection of unrelated events.	The sweat secretion response to emotion is a physiological process that intrinsically depends on the existence of both an organism to perform the function and a specific emotional state to trigger it.	1	1	1	1	1	5	
positive emotional valence	http://purl.bioontology.org/ontology/EMRO/0000009	+R	-I	-O	-U	+D	Attribution or Quality	Positive emotional valence is a rigid property because if an instance (a specific feeling or state) is a positive emotional valence, it cannot lose that property and still exist as that specific instance. While an emotional state can change from positive to negative, the original positive valence does not 'become' negative; rather, it is replaced by a different instance of valence.	Positive emotional valence is a quality or attribute rather than a substantial entity; it lacks intrinsic identity conditions to distinguish one instance from another without referring to the specific entity or event experiencing it.	Since the entity is identified as -I (lacking an identity condition), it logically cannot supply its own identity condition (+O). Positive emotional valence is a property or state of an emotion rather than an entity with a discrete global identity condition.	Positive emotional valence is a qualitative property or degree along a continuum rather than a discrete entity with integrated internal parts. It lacks a definitive, intrinsic mereological unity that defines a whole.	Emotional valence is an intrinsic property or quality of an emotion or state; it cannot exist independently and necessarily depends on an experiencing subject or an emotional state to which it belongs.	1	1	1	1	1	5	
muscle tension response to emotion	http://purl.bioontology.org/ontology/EMRO/0000010	~R	-I	-O	+U	+D	Role (Anti-rigid, dependent)	This entity represents a contingent state or role of a muscle. A muscle does not necessarily have to be in a state of tension responding to emotion to exist as a muscle, and it can transition in and out of this state without losing its identity.	Muscle tension response to emotion is a functional or qualitative state (a property-like entity or occurrence) rather than a substance. It does not provide inherent, unique identity conditions to distinguish one instance of the response from another over time without referring to the specific individual or event it belongs to.	Since the entity was previously determined to be -I (lacking a global identity condition), it cannot supply its own identity condition (+O). Furthermore, it represents a specific physiological state or process that relies on the identity of the underlying physical body or event it characterizes.	A muscle tension response is a discrete physiological holistic state within an organism. It is characterized by a specific functional integration of motor units and neurological feedback loops that constitute a unified biological event rather than a mere arbitrary collection of parts.	The muscle tension response is intrinsically dependent on both a biological host (musculature) and a specific causal mental state (emotion) to exist; it cannot manifest as an independent entity.	1	1	1	1	1	5	
increased heart response to emotion	http://purl.bioontology.org/ontology/EMRO/0000011	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	This is a contingent physiological state or phase of a Biological Entity; the entity can exist without this specific response, and the response itself can cease while the entity continues to exist.	This term refers to a physiological state or response, which is a property or manifestation rather than an entity with a principled, stable identity condition. It lacks a specific mechanism for re-identifying the 'same' instance over time across different individuals or contexts, making it a qualitative characterization.	Since the entity is analyzed as -I (does not carry an identity condition), it cannot supply its own identity condition (+O). It serves as a qualitative state or modification of a physiological process rather than a discrete entity with its own internal mechanism for global identity.	This term describes a physiological process or specific state change rather than a discrete, integrated physical object or functional whole. While it occurs within a unified biological system, the 'increased response' itself lacks a specific mereological structure or intrinsic boundaries that define a singular unity.	This entity is a physiological state or property change that cannot exist autonomously. It specifically depends on both an organism (to exhibit the response) and a stimulus or psychological state (the emotion) to occur.	1	1	1	1	1	5	
increased breathing rate response to emotion	http://purl.bioontology.org/ontology/EMRO/0000012	~R	-I	-O	+U	+D	Role (Anti-rigid, dependent)	This is an anti-rigid property because it describes a temporary physiological phase or state of a biological organism. A person can enter and exit this state without losing their identity as a person, making it contingent upon circumstantial emotional triggers.	This term represents a specific physiological state or process rather than a substance or individual entity. While it is an occurrence, it does not carry an intrinsic identity condition to distinguish one instance of the rate increase from another over time or across subjects without referring to the identity of the organism experiencing it.	Since the entity is labeled -I (lacks an Identity Condition), it cannot supply its own identity condition (+O). It represents an instance of a physiological change rather than a foundational sortal that provides a global tracking criterion.	This term represents a specific physiological process. In OntoClean, such processes are considered wholes (+U) because they are discrete temporal entities with a defined beginning, end, and integrated causal structure involving specific biological components working in coordination.	As a specific physiological response/event, this entity cannot exist independently; it necessarily depends on a sentient organism (the host) and the psychological state of emotion that triggers it.	1	1	1	1	1	5	
cognitive response to emotion	http://purl.bioontology.org/ontology/EMRO/0000013	+R	-I	-O	-U	+D	Attribution or Quality	A 'cognitive response to emotion' is defined by its inherent nature as a mental process. An instance of this entity cannot cease to be a cognitive response without undergoing a substantial change that ends its existence as that specific instance; it is an essential characteristic of the event or state itself.	A cognitive response to emotion is a process or event that lacks an inherent identity condition to distinguish one instance from another without referring to the specific individual or context it belongs to.	Since the entity is determined to be -I (lacking an identity condition), it cannot supply its own identity condition (+O), as supplying an IC necessitates carrying one.	A cognitive response to emotion is a mental process or event that may consist of multiple disparate thoughts or appraisals. While it can be identified, it lack inherent mereological criteria that define it as a single, discrete 'whole' with fixed boundaries, similar to many abstract entities or amounts.	A cognitive response to emotion is inherently dependent; it cannot exist without an underlying emotional state to which it responds, nor can it exist without a cognitive agent (a mind) to process and generate the response.	1	1	1	1	1	5	
cognitive appraisal process	http://purl.bioontology.org/ontology/EMRO/0000014	+R	+I	-O	+U	+D	Sortal (Rigid, carries identity)	A 'cognitive appraisal process' is a type of mental process; anything that is this specific process is necessarily such a process by definition and cannot continue to exist as a different entity if it ceases to be a process of cognitive appraisal.	As a process, it carries identity conditions based on its unique spatio-temporal boundaries, the specific agent performing the appraisal, and its causal relationship to a stimulus.	While the cognitive appraisal process carries identity (+I), it does not supply its own unique identity condition. Instead, it inherits the identity conditions for processes (typically defined by participants, temporal boundaries, and spatio-temporal location) from the more general category of 'Mental Process' or 'Process'.	A cognitive appraisal process is a functional whole consisting of interdependent stages—evaluation, interpretation, and categorization—which must occur in a specific, integrated sequence to fulfill its purpose; it is not merely an arbitrary collection of unrelated thoughts.	The cognitive appraisal process is inherently dependent on a cognitive agent or mind to perform the evaluation, as the process cannot exist in isolation without a subject to experience it.	1	1	2	1	1	6	
syncope response to emotion	http://purl.bioontology.org/ontology/EMRO/0000015	-R	-I	-O	+U	+D	Attribution (Non-rigid, no identity)	A physiological response like syncope is a contingent state or reaction of a biological organism. An organism (the instance) can exist without currently experiencing a syncope response to emotion, meaning it can gain or lose this property while maintaining its identity.	As a specific type of physiological event (a symptom), this term describes a phenomenon that occurs but does not inherently provide the unique identity conditions necessary to distinguish or re-identify one instance from another over time without referencing a particular organism (Person) or a specific spatio-temporal event.	Since the entity is -I, it follows it must be -O because a property cannot supply its own global identity condition if it does not first carry one. This term represents a specific physiological event or behavior that inherits identity from more general medical categories.	A syncope response to emotion is an integrated physiological process with a defined causal structure, temporal phases, and specific organic reactions that function together as a single biological event or 'whole'.	A syncope response to emotion is inherently dependent on both a physiological host (the person experiencing the syncope) and an emotional stimulus or state that triggers the response. It cannot exist as an independent entity outside of these functional and ontological dependencies.	1	1	1	1	1	5	
negative emotional valence	http://purl.bioontology.org/ontology/EMRO/0000016	+R	-I	-O	-U	+D	Attribution or Quality	Negative emotional valence is an essential property of the specific instances (emotional states) it classifies. An emotional state that is characterized as having a negative valence cannot lose that valence and remain the same instance of an emotional state; if the valence changes from negative to positive, it becomes a fundamentally different emotional experience.	Negative emotional valence is a property or quality on a continuum; it does not provide a principled identity condition to distinguish or re-identify one instance from another independently of the entity expressing the emotion.	Since the entity is analyzed as -I, it cannot supply an identity condition. 'Negative emotional valence' is a quality or a range on a continuum rather than a discrete entity that provides an original principle for identifying and distinguishing individuals.	Negative emotional valence is an abstract property or evaluative quality rather than an integrated whole with a specific mereological structure. It does not possess a principle of unity that defines how parts are connected to form a singular entity.	Negative emotional valence is an intrinsic property or state of an emotion or an experience; it cannot exist independently of a sentient subject experiencing an affective state.	1	1	1	1	1	5	
neutral emotional valence	http://purl.bioontology.org/ontology/EMRO/0000017	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Neutral emotional valence is an anti-rigid property (a phase) because an emotional state or experience can transition from neutral to positive or negative while maintaining its identity as an emotional state. It is not essential for any specific instance of an emotion to remain neutral throughout its entire existence.	Neutral emotional valence is a property or state on a continuum rather than an entity with a principled identity condition. It lacks a unique mechanism for distinguishing one instance of neutrality from another or re-identifying it over time independently of the subject experiencing it.	Since the entity is determined to be -I (does not carry a global identity condition), it cannot supply its own identity condition (+O). It serves as a qualitative distinction or range on a continuum rather than a discrete entity with its own independent tracking criteria.	Neutral emotional valence is a property or a point on a continuum rather than a discrete, integrated whole. It lacks essential mereological structure or a unifying principle that defines how parts are integrated into a single entity.	A neutral emotional valence is inherently dependent on an emotional state or experience to exist; it cannot exist as a standalone entity without a subject experiencing an emotion or an evaluation of an affective state.	1	1	1	1	1	5	
muscle tension response to fear	http://purl.bioontology.org/ontology/EMRO/0000019	~R	-I	-O	+U	+D	Role (Anti-rigid, dependent)	This is a contingent state or phase of a muscle. A muscle does not necessarily have to be in a state of tension responding to fear to exist, and it can cease this state without losing its identity as a muscle.	Muscle tension response to fear is an occurrence or state that lacks its own inherent identity condition. While it can be measured, there is no principled way to distinguish one instance of this tension from another over time without referring to the identity of the specific organism experiencing it.	Since the entity is analyzed as -I, it cannot supply an identity condition (+O). It represents an occurent or state that typically inherits its identity from the specific Physiological Process or the individual experiencing it, rather than establishing its own independent global criteria for identity.	A muscle tension response is an integrated physiological process with a specific functional structure and temporal boundary, acting as a unified biological event rather than a mere arbitrary collection of movements.	The muscle tension response is an intrinsic property/state that cannot exist without a living biological entity (the organism) to host the physiological reaction and a corresponding emotional state (fear) as a functional trigger.	1	1	1	1	1	5	
psychophysiological response to fear	http://purl.bioontology.org/ontology/EMRO/0000020	+R	-I	-O	+U	+D	Attribution or Quality	A psychophysiological response to fear (such as a specific instance of tachycardia or sweating caused by a fear stimulus) cannot exist without being that response. It is defined by its origin and physiological nature; if it ceased to be a response to fear, it would be a different event or no longer exist.	A psychophysiological response is a momentary event or state. While it can be characterized by its intensity or duration, it does not carry its own intrinsic identity condition to distinguish one instance from another across time without referencing the specific entity (e.g., a person) undergoing the response.	Since the entity is labeled -I (does not carry an identity condition), it cannot supply its own identity condition (+O). It represents an occurrence or state that depends on the identity of the experiencing subject and the specific event type.	A psychophysiological response to fear (such as the fight-or-flight response) is an integrated functional whole consisting of coordinated biological activities—e.g., increased heart rate, hormonal release, and neural activation—that work together as a single systemic event rather than an arbitrary collection of parts.	A psychophysiological response to fear cannot exist in isolation; it necessarily depends on the existence of a sentient host (organism) to experience the response and a stimulus or psychological state (fear) to trigger it.	1	1	1	1	1	5	
Nb62c76f91e504bb2bf872cdd3bff6e28	Nb62c76f91e504bb2bf872cdd3bff6e28	-R	+I	+O	-U	-D	Category or Mixin (Non-rigid)	Since the term is an opaque alphanumeric identifier without a semantic definition or domain-specific mapping, it is impossible to verify if the property is essential to all its instances across all possible worlds. In the absence of ontological context, it must be treated as non-rigid because rigidity (+R) or anti-rigidity (~R) requires explicit proof of essentiality or contingency, which cannot be established for an undefined symbolic label.	Treating the term as the class 'Cryptographic Hash' (which the specific hash is an instance of), it carries a rigid identity condition based on the mathematical equivalence of the character sequence. A hash provides a principled way to re-identify instances based on their unique bitwise representation.	As an entity identified by a specific unique identifier (UUID/Hash), this property supplies its own internal criterion for identity and does not inherit it from a parent class, thereby grounding its own identity condition.	As a unique identifier (GUID/Hash), the term functions as a rigid designator for a particular rather than a universal class. From an ontological perspective, if treated as a property, it lacks an intrinsic unity criterion because it refers to a mathematical or string-based reference point that does not define the mereological boundaries or internal integration of the entity it identifies.	As a specific physical artifact (a microchip or semiconductor component), the existence of this entity does not intrinsically depend on the existence of another specific entity to be defined; it maintains its identity as a physical object regardless of its participation in a relationship.	3	3	1	2	1	10	
psychophysiological response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000021	+R	-I	-O	+U	+D	Attribution or Quality	A psychophysiological response to anxiety is defined by its causal origin and biological nature; an instance of this response cannot cease to be an anxiety response while remaining the same event/occurrence.	A psychophysiological response to anxiety is a trope or a state that lacks intrinsic identity conditions; while instances can be described, there is no principled way to distinguish or re-identify one instance from another over time without referring to the specific individual (agent) experiencing it.	Since the entity is determined to be -I (does not carry an identity condition), it cannot supply its own identity condition (+O). It represents a qualitative or functional categorization of processes that inherit their identity from the underlying biological or psychological events.	A psychophysiological response is a structured, integrated whole involving synchronized biological and psychological sub-systems (e.g., heart rate, hormonal changes, and cognitive shifts) that function together as a single identifiable event rather than an arbitrary collection of detached parts.	A psychophysiological response to anxiety cannot exist in isolation; it necessarily depends on the presence of a sentient host (organism) and the specific psychological state of anxiety that triggers the response.	1	1	1	1	1	5	
N0092135c2bb64e7689b93909bd0c18df	N0092135c2bb64e7689b93909bd0c18df	+R	+I	-O	-U	-D	Sortal (Rigid, carries identity)	This term represents a specific unique identifier or rigid designator within a closed system. In formal ontologies, such identifiers are essential to their instances; an entity identified by this specific hash or key cannot cease to be that specific entry without losing its identity.	As a class representing a specific set of machine-generated identifiers, it carries an Identity Condition (IC). Instances are uniquely identified and distinguished from one another based on the specific alphanumeric sequence and its origin within a defined namespace or registry.	The term provided is a specific technical identifier (hash/hexadecimal string) rather than a concept or category. While it may serve as an identity token for an object, as a term it does not represent an ontological class that defines or supplies internal identity conditions for its instances; it is an instance-level value with no semantic inheritance or structural identity rules of its own.	The term provided appears to be an opaque alphanumeric identifier or hexadecimal hash; such entities lack an intrinsic mereological structure or integrated biological/functional parts that define a whole, and thus cannot be classified as a unifying entity (+U).	As an abstract identifier or unique reference, the entity represents a self-contained symbolic individual. According to Guarino & Welty (2000), ontological dependence must refer to instances that require the existence of another specific individual (like a hole needing a host). A string or identifier does not possess such an inherent ontological requirement for another entity to exist; the systemic need for a database or schema is a matter of interpretation (epistemology) rather than a formal ontological dependency.	1	2	2	1	2	8	
muscle tension response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000022	~R	-I	-O	~U	+D	Role (Anti-rigid, dependent)	This is a contingent phase or state of a muscle. A muscle exists as a muscle without this tension, and the tension itself is a temporary reaction to a specific stimulus, making the property anti-rigid as instances (muscles) can gain or lose this state while maintaining their identity.	Muscle tension response to anxiety is a trope (a specific property instance) or a state rather than a discrete entity that provides its own internal identity criteria. While the person experiencing it has identity, the tension itself lacks a principled way to differentiate one instance from another over time without referring to the specific individual or a separate spatio-temporal event.	As the entity is determined to be -I (does not carry an identity condition), it follows logically that it cannot supply its own identity condition (+O). It represents a state or phase of a primary entity rather than providing a global identity framework.	As a physiological process (occurrent), this entity lacks a formal unity criterion because its temporal parts are not bound into a discrete whole distinct from continuous muscular activity. It is an aggregate of physiological events without a formal mereological boundary to define 'one' unique instance.	Muscle tension in this context is a physiological state that exists only as a response to anxiety; it cannot exist without the bearer (the organism) and the psychological trigger (anxiety) that defines its nature.	1	1	1	2	1	6	
cognitive response to fear	http://purl.bioontology.org/ontology/EMRO/0000023	-R	-I	-O	+U	+D	Attribution (Non-rigid, no identity)	A mental state or neurological process can be characterized as a 'cognitive response to fear' only under specific stimulus conditions; however, the underlying process or entity exists independently and does not inherently or necessarily lose its identity if it ceases to be a response to fear.	A cognitive response to fear is a transient mental occurrence or state; it does not carry a specific identity condition that allows an instance to be uniquely re-identified as the 'same' instance over time or across contexts independently of the organism experiencing it.	Since the entity is -I (lacks an Identity Condition), it cannot supply its own global identity condition. Most psychological responses are considered phases or states that do not supply unique identity conditions, instead relying on the identity of the experiencing subject or being defined by external characteristics.	A cognitive response to fear is a unified mental process or state with specific functional boundaries and integrated sequential components (appraisal, physiological signaling, and behavioral planning) that constitute a singular whole.	A 'cognitive response to fear' is intrinsically dependent on the existence of both a subject capable of cognition and the specific emotional state of 'fear' that triggers the response. It cannot exist as an independent entity.	1	1	1	1	1	5	
cognitive response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000024	+R	-I	-O	+U	+D	Attribution or Quality	A 'cognitive response to anxiety' is defined by its specific causal and functional relationship to anxiety. An instance of such a response cannot stop being a response to anxiety without ceasing to be that specific mental event; there is no possible world where that instance exists but is not a response to anxiety.	A cognitive response to anxiety is a behavioral or psychological occurrence that is classified by its characteristics rather than a set of identity conditions. There are no inherent criteria to determine if two instances of a 'cognitive response' are the same identical entity over time, unlike a person or a physical object.	Since the entity is -I and does not carry an identity condition, it cannot supply an identity condition (+O). It represents an aspect or behavioral manifestation that inherits its identity from a substrate, such as a physical person or a mental process.	A cognitive response is an integrated psychological whole consisting of specific, related mental processes (such as appraisal or worry) that form a unified reaction to a specific stimulus, rather than a mere arbitrary collection of thoughts.	A cognitive response to anxiety is inherently dependent on the existence of both a subject (cognizer) and the specific emotional state of anxiety that triggers the response. It cannot exist as a standalone entity.	2	1	1	1	1	6	
