constraint	severity	sub_label	sub_rigidity	sub_identity	sub_own_id	sub_unity	sub_dep	sub_class	sup_label	sup_rigidity	sup_identity	sup_own_id	sup_unity	sup_dep	sup_class	description	sub_uri	sup_uri
R1	VIOLATION	increased heart response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000027	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	localization	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0051179	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	locomotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0040011	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	motor behavior	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0061744	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	motoric response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000034	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	motoric response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000006	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	motoric response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000033	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	multicellular organismal process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	muscle system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003012	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	muscle tension response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000022	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	muscle tension response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000010	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	muscle tension response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000019	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	nervous system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0050877	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	phenomenal cognitive experience	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000001	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	psychophysiological response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000021	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	psychophysiological response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000007	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	psychophysiological response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000020	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	regulation of biological quality	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0065008	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	regulation of body fluid levels	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0050878	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	respiratory gaseous exchange by respiratory system	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0007585	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	respiratory system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003016	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	secretion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	secretion by tissue	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0032941	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	sensory experience	+R	+I	+O	+U	+D	Sortal	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	sweat secretion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0160269	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	sweat secretion response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000008	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	sweat secretion response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000025	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	syncope response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000032	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	syncope response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000015	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	syncope response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000031	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003008	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	Smooth Muscle Contraction	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0006936	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	Transport of small molecules	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0006810	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	anxiety process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000003	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	behavior	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0007610	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	biological regulation	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0065007	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	biological_process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	body fluid secretion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0007589	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	circulatory system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003013	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	cognition	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0050890	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	cognitive appraisal process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000014	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	cognitive response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000024	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	cognitive response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000013	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	cognitive response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000023	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	emotion process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000000	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	establishment of localization	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0051234	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	fear process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000004	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	heart process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003015	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	increased breathing rate response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000030	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	increased breathing rate response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000012	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	increased breathing rate response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000029	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	increased heart response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000028	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	increased heart response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000011	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	increased heart response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000027	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	localization	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0051179	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	locomotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0040011	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	motor behavior	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0061744	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	motoric response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000034	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	motoric response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000006	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	motoric response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000033	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	multicellular organismal process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0032501	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	muscle system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003012	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	muscle tension response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000022	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	muscle tension response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000010	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	muscle tension response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000019	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	nervous system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0050877	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	phenomenal cognitive experience	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000001	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	psychophysiological response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000021	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	psychophysiological response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000007	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	psychophysiological response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000020	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	regulation of biological quality	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0065008	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	regulation of body fluid levels	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0050878	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	respiratory gaseous exchange by respiratory system	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0007585	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	respiratory system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003016	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	secretion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0046903	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	secretion by tissue	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.obolibrary.org/obo/GO_0032941	http://purl.obolibrary.org/obo/BFO_0000015
R3	VIOLATION	sensory experience	+R	+I	+O	+U	+D	Sortal	process	~R	-I	-O	~U	+D	Process	~R(super) not inherited: non-anti-rigid subclass of anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000005	http://purl.obolibrary.org/obo/BFO_0000015
